time_stamp,sensor_index,humidity,temperature,pressure,pm1.0_atm,pm2.5_atm,pm10.0_atm
2023-01-15 00:00:00+00:00,144468,29.466,62.033,1000.695,3.636,5.214,5.9830000000000005
2023-01-15 01:00:00+00:00,144468,32.1,59.833,1000.368,4.9955,7.228,8.4765
2023-01-15 02:00:00+00:00,144468,34.466,58.133,1000.122,4.977,7.359500000000001,8.5365
2023-01-15 03:00:00+00:00,144468,36.0,57.067,999.984,6.5920000000000005,9.4145,10.7975
2023-01-15 04:00:00+00:00,144468,37.767,56.034,999.977,8.434000000000001,11.7455,13.5415
2023-01-15 05:00:00+00:00,144468,40.666,54.767,999.298,10.467,14.619,17.386000000000003
2023-01-15 06:00:00+00:00,144468,44.567,53.867,998.652,12.5395,17.509999999999998,20.163
2023-01-15 07:00:00+00:00,144468,49.867,52.867,998.14,12.614,17.6725,20.653
2023-01-15 08:00:00+00:00,144468,56.9,52.034,997.87,11.405,16.0155,18.491
2023-01-15 09:00:00+00:00,144468,63.4,52.0,997.404,9.0445,12.8805,14.629
2023-01-15 10:00:00+00:00,144468,67.1,51.666,996.882,8.354,11.9605,13.66
2023-01-15 11:00:00+00:00,144468,70.867,51.034,996.773,8.788499999999999,12.789,14.874
2023-01-15 12:00:00+00:00,144468,72.767,51.034,996.731,10.5855,15.608,18.7695
2023-01-15 13:00:00+00:00,144468,74.066,51.633,996.55,12.318,18.379,21.541
2023-01-15 14:00:00+00:00,144468,74.333,52.2,996.568,14.253,21.106,25.0605
2023-01-15 15:00:00+00:00,144468,69.933,55.6,996.594,13.543500000000002,20.138,24.4375
2023-01-15 16:00:00+00:00,144468,62.4,61.334,996.082,6.2585,9.442,10.9195
2023-01-15 17:00:00+00:00,144468,52.9,67.833,994.527,2.1215,3.465,4.7215
2023-01-15 18:00:00+00:00,144468,48.7,69.934,992.726,1.615,2.7585,3.871
2023-01-15 19:00:00+00:00,144468,45.9,72.633,991.025,1.729,2.8495,3.8575
2023-01-15 20:00:00+00:00,144468,44.633,73.434,990.326,2.174,3.312,4.2615
2023-01-15 21:00:00+00:00,144468,45.167,73.733,989.295,2.187,3.4715,4.4895
2023-01-15 22:00:00+00:00,144468,47.233,73.3,989.304,2.791,4.1545000000000005,5.329000000000001
2023-01-15 23:00:00+00:00,144468,50.534,71.567,988.677,3.5865,5.2145,6.6575
2023-01-16 00:00:00+00:00,144468,53.334,70.267,989.096,3.9875,5.751,7.465
2023-01-16 01:00:00+00:00,144468,53.566,70.534,989.674,3.184,4.836,6.515499999999999
2023-01-16 02:00:00+00:00,144468,54.5,70.0,989.131,2.4355,3.9235,5.6905
2023-01-16 03:00:00+00:00,144468,55.333,69.834,989.439,1.8845,3.243,5.08
2023-01-16 04:00:00+00:00,144468,57.0,69.0,989.521,1.6675,2.9575,4.6735
2023-01-16 05:00:00+00:00,144468,59.733,69.0,989.376,1.726,3.156,5.2295
2023-01-16 06:00:00+00:00,144468,61.966,69.0,989.178,2.008,3.5035,5.702
2023-01-16 07:00:00+00:00,144468,64.133,68.5,988.78,2.1950000000000003,3.7785,6.2905
2023-01-16 08:00:00+00:00,144468,64.7,68.3,989.139,2.4585,4.0325,6.2225
2023-01-16 09:00:00+00:00,144468,65.034,68.034,989.053,2.575,4.226,6.388
2023-01-16 10:00:00+00:00,144468,66.466,67.933,989.058,3.1055,4.8625,7.106999999999999
2023-01-16 11:00:00+00:00,144468,67.3,67.7,988.939,4.6375,6.743,9.297
2023-01-16 12:00:00+00:00,144468,67.1,67.934,989.324,5.103,7.3845,9.7555
2023-01-16 13:00:00+00:00,144468,67.166,68.0,989.976,5.5215,8.0085,10.378
2023-01-16 14:00:00+00:00,144468,64.933,68.4,990.551,6.4165,9.077,12.2325
2023-01-16 15:00:00+00:00,144468,61.434,69.8,990.822,6.7565,9.4285,12.091
2023-01-16 16:00:00+00:00,144468,57.034,71.566,991.171,6.65,9.397,12.0095
2023-01-16 17:00:00+00:00,144468,50.6,73.967,990.535,5.8325,8.223,10.4075
2023-01-16 18:00:00+00:00,144468,43.6,76.4,989.474,4.6145,6.722,8.3515
2023-01-16 19:00:00+00:00,144468,32.8,80.433,988.212,2.612,3.995,5.4885
2023-01-16 20:00:00+00:00,144468,30.0,82.2,987.487,2.3885,3.733,5.138
2023-01-16 21:00:00+00:00,144468,27.934,82.733,987.296,2.2605,3.5025,4.9365000000000006
2023-01-16 22:00:00+00:00,144468,25.5,82.466,987.207,1.4615,2.4905,3.614
2023-01-16 23:00:00+00:00,144468,26.3,78.534,987.415,1.572,2.6835,3.6625
2023-01-17 00:00:00+00:00,144468,28.534,75.8,987.769,2.407,3.712,4.7855
2023-01-17 01:00:00+00:00,144468,30.633,74.4,988.196,3.4235,5.1,6.553
2023-01-17 02:00:00+00:00,144468,33.234,73.633,988.492,3.4015,5.142,6.48
2023-01-17 03:00:00+00:00,144468,35.666,71.834,988.592,4.49,6.7695,8.6985
2023-01-18 01:00:00+00:00,144468,37.35,75.033,988.386,6.564,9.749,12.2605
2023-01-18 02:00:00+00:00,144468,50.8,72.566,988.857,14.6855,21.427,26.9895
2023-01-18 03:00:00+00:00,144468,58.833,71.2,988.932,19.5625,28.919,36.13
2023-01-18 04:00:00+00:00,144468,63.233,70.067,988.644,21.055,31.226,38.861
2023-01-18 12:00:00+00:00,144468,73.534,69.733,988.322,26.662,40.5995,53.077
